child_snomed_id,child_name,child_level,parent_snomed_id,parent_name,parent_level
63480004,Chronic bronchitis,granular,13645005,Chronic obstructive lung disease,group
195951007,Acute exacerbation of chronic obstructive airways disease,granular,13645005,Chronic obstructive lung disease,group
196001008,Chronic obstructive pulmonary disease with acute lower respiratory infection,granular,13645005,Chronic obstructive lung disease,group
11687002,Gestational diabetes mellitus,granular,73211009,Diabetes mellitus,group
237622006,Poor glycemic control,granular,73211009,Diabetes mellitus,group
44054006,Diabetes mellitus type 2,granular,73211009,Diabetes mellitus,group
9414007,Impaired glucose tolerance,granular,73211009,Diabetes mellitus,group
46635009,Diabetes mellitus type 1,granular,73211009,Diabetes mellitus,group
402599005,Acanthosis nigricans,granular,73211009,Diabetes mellitus,group
81531005,Diabetes mellitus type 2 in obese,granular,73211009,Diabetes mellitus,group
763325000,Insulin resistance,granular,73211009,Diabetes mellitus,group
83469008,Hyperinsulinism,granular,73211009,Diabetes mellitus,group
426875007,Latent autoimmune diabetes mellitus in adult,granular,73211009,Diabetes mellitus,group
190372001,Type I diabetes mellitus maturity onset,granular,73211009,Diabetes mellitus,group
51002006,Diabetes mellitus associated with pancreatic disease,granular,73211009,Diabetes mellitus,group
390951007,Impaired fasting glycemia,granular,73211009,Diabetes mellitus,group
80394007,Hyperglycemia,granular,73211009,Diabetes mellitus,group
609561005,Maturity-onset diabetes of the young,granular,73211009,Diabetes mellitus,group
190447002,Steroid-induced diabetes,granular,73211009,Diabetes mellitus,group
359642000,Diabetes mellitus type 2 in nonobese,granular,73211009,Diabetes mellitus,group
79909001,Pneumocystis jirovecii,granular,50417007,Lower respiratory tract infection,group
195742007,Acute lower respiratory tract infection,granular,50417007,Lower respiratory tract infection,group
5505005,Acute bronchiolitis,granular,50417007,Lower respiratory tract infection,group
396285007,Bronchopneumonia,granular,50417007,Lower respiratory tract infection,group
4120002,Bronchiolitis,granular,50417007,Lower respiratory tract infection,group
233604007,Pneumonia,granular,50417007,Lower respiratory tract infection,group
406617004,Invasive Streptococcus pneumoniae disease,granular,50417007,Lower respiratory tract infection,group
700250006,Idiopathic pulmonary fibrosis,granular,50417007,Lower respiratory tract infection,group
75570004,Viral pneumonia,granular,50417007,Lower respiratory tract infection,group
278484009,Tropical pulmonary eosinophilia,granular,50417007,Lower respiratory tract infection,group
6142004,Influenza,granular,50417007,Lower respiratory tract infection,group
425878001,Cervical disc disorder,granular,387800004,Cervical spondylosis,group
202683005,Cervical spondylosis with radiculopathy,granular,387800004,Cervical spondylosis,group
202664003,Cervical myelopathy,granular,387800004,Cervical spondylosis,group
11049006,Cervical radiculitis,granular,387800004,Cervical spondylosis,group
54404000,Cervical radiculopathy,granular,387800004,Cervical spondylosis,group
45816000,Pyelonephritis,granular,52845002,Nephritis,group
77182004,Membranous glomerulonephritis,granular,52845002,Nephritis,group
36689008,Acute pyelonephritis,granular,52845002,Nephritis,group
68815009,Systemic lupus erythematosus glomerulonephritis syndrome,granular,52845002,Nephritis,group
202735001,Lumbar disc prolapse with radiculopathy,granular,73589001,Intervertebral disc prolapse,group
2304001,Discitis,granular,73589001,Intervertebral disc prolapse,group
240215009,Prolapsed cervical intervertebral disc,granular,73589001,Intervertebral disc prolapse,group
77547008,Degeneration of intervertebral disc,granular,73589001,Intervertebral disc prolapse,group
700378005,Chronic kidney disease stage 3A,granular,709044004,Chronic kidney disease,group
700379002,Chronic kidney disease stage 3B,granular,709044004,Chronic kidney disease,group
431855005,Chronic kidney disease stage 1,granular,709044004,Chronic kidney disease,group
236407003,Immunoglobulin A nephropathy,granular,709044004,Chronic kidney disease,group
431856006,Chronic kidney disease stage 2,granular,709044004,Chronic kidney disease,group
42399005,Renal failure syndrome,granular,709044004,Chronic kidney disease,group
431857002,Chronic kidney disease stage 4,granular,709044004,Chronic kidney disease,group
714152005,Chronic kidney disease stage 5 on dialysis,granular,709044004,Chronic kidney disease,group
433146000,Chronic kidney disease stage 5,granular,709044004,Chronic kidney disease,group
90688005,Chronic renal failure syndrome,granular,709044004,Chronic kidney disease,group
433144002,Chronic kidney disease stage 3,granular,709044004,Chronic kidney disease,group
197315008,Non-alcoholic fatty liver,granular,197321007,Steatosis of liver,group
442685003,Nonalcoholic steatohepatitis,granular,197321007,Steatosis of liver,group
12463005,Infectious gastroenteritis,granular,25374005,Gastroenteritis,group
69776003,Acute gastroenteritis,granular,25374005,Gastroenteritis,group
135841008,Dry eczema,granular,43116000,Eczema,group
402285007,Irritant contact dermatitis due to lip-licking,granular,43116000,Eczema,group
238564003,Psoriasiform eczema,granular,43116000,Eczema,group
44256003,Chronic eczema,granular,43116000,Eczema,group
762389001,Eczema of lower leg,granular,43116000,Eczema,group
402234004,Foot eczema,granular,43116000,Eczema,group
81418003,Nummular eczema,granular,43116000,Eczema,group
201077008,Asteatotic eczema,granular,43116000,Eczema,group
402222007,Vesicular hand eczema,granular,43116000,Eczema,group
473424007,Hearing loss of left ear,granular,15188001,Hearing loss,group
49526009,Presbycusis,granular,15188001,Hearing loss,group
11543004,Otosclerosis,granular,15188001,Hearing loss,group
60700002,Sensorineural hearing loss,granular,15188001,Hearing loss,group
232324007,Obscure auditory dysfunction,granular,15188001,Hearing loss,group
317349009,Vernal keratoconjunctivitis,granular,9826008,Conjunctivitis,group
75705005,Red eye,granular,9826008,Conjunctivitis,group
68659002,Blepharoconjunctivitis,granular,9826008,Conjunctivitis,group
231854006,Atopic conjunctivitis,granular,9826008,Conjunctivitis,group
473460002,Allergic conjunctivitis,granular,9826008,Conjunctivitis,group
45261009,Viral conjunctivitis,granular,9826008,Conjunctivitis,group
202794004,Lumbago with sciatica,granular,23056005,Sciatica,group
16839401000119104,,granular,23056005,Sciatica,group
723003004,Acute eruptive lichen planus,granular,88996004,Lichen,group
68266006,Hypertrophic lichen planus,granular,88996004,Lichen,group
42442001,Lichen striatus,granular,88996004,Lichen,group
64540004,Lichen planopilaris,granular,88996004,Lichen,group
41890004,Lichen nitidus,granular,88996004,Lichen,group
4776004,Lichen planus,granular,88996004,Lichen,group
53891004,Lichen simplex chronicus,granular,88996004,Lichen,group
