loinc_id,concept_snomed_id
1657-6,106176003
14567-2,106176003
1668-3,106176003
18488-7,106098005
2829-0,106098005
1989-3,2492009
14635-7,2492009
62292-8,2492009
1759-0,386617003
30412-1,299691001
30413-9,414029004
8065-5,414029004
8067-1,414029004
6015-2,414029004
18189-1,106176003
9425-0,106176003
5570-7,106176003
6016-0,414029004
3173-2,299691001
47826-3,106048009
2141-0,106176003
9318-7,106098005
1755-8,106098005
1747-5,25f27d630d8d21704116323e3798659c
1751-7,386617003
1754-1,106098005
1753-3,106098005
5643-2,386617003
1765-7,106176003
1763-2,106176003
14586-2,106176003
6019-4,414029004
6768-6,386617003
2868-8,414029004
2865-4,414029004
1834-1,386617003
1742-6,386617003
6020-2,106048009
26707-0,25f27d630d8d21704116323e3798659c
5574-9,25f27d630d8d21704116323e3798659c
8246-1,106098005
6829-6,414029004
6712-4,414029004
1795-4,386617003
1798-8,386617003
1799-6,386617003
1854-9,118232004
7081-3,414029004
38892-6,299691001
8068-9,414029004
5130-0,414029004
33800-4,414029004
33571-1,414029004
30314-9,414029004
30201-8,414029004
53028-7,414029004
53027-9,414029004
33935-8,414029004
8091-1,414029004
29374-6,414029004
94506-3,106048009
11090-8,414029004
8093-7,414029004
17792-3,414029004
8094-5,414029004
17791-5,414029004
8099-4,106176003
31017-7,414029004
53982-5,414029004
31348-6,414029004
54910-5,414029004
8076-2,414029004
83104-0,118232004
18323-6,414029004
5076-5,414029004
16137-2,414029004
14097-0,25f27d630d8d21704116323e3798659c
5578-0,25f27d630d8d21704116323e3798659c
5581-4,25f27d630d8d21704116323e3798659c
8061-4,414029004
1874-7,106063007
1869-7,106063007
76483-7,106063007
1884-6,106063007
6021-0,414029004
7091-2,414029004
75510-8,299691001
53839-7,25f27d630d8d21704116323e3798659c
5583-0,25f27d630d8d21704116323e3798659c
22568-0,106048009
6025-1,106048009
7103-5,106048009
42579-3,106048009
6830-4,414029004
1920-8,386617003
51480-2,106098005
33218-9,106098005
6034-3,414029004
6035-0,414029004
26507-4,299691001
26508-2,299691001
6037-6,414029004
7118-3,414029004
30180-4,299691001
26444-0,299691001
7125-8,414029004
6039-2,414029004
19728-5,414029004
31152-2,414029004
6041-8,414029004
21198-7,118232004
1963-8,106098005
14628-2,386617003
50041-3,386617003
43889-5,386617003
14629-0,386617003
14630-8,386617003
1977-8,386617003
1980-2,2492009
34398-8,2492009
29918-0,25f27d630d8d21704116323e3798659c
5598-8,25f27d630d8d21704116323e3798659c
8161-2,25f27d630d8d21704116323e3798659c
