concept_snomed_id,loinc_id,vital_expiry_value,category_threshold,polarity,exclusivity
73211009,1558-6,stat,borderline_high,above,low
73211009,4548-4,month_3,normal,above,high
73211009,1521-4,stat,borderline_high,above,low
40930008,3016-3,month_3,normal,above,high
34486009,3016-3,month_3,normal,below,high
34486009,3024-7,month_3,normal,above,high
40930008,14928-6,month_3,normal,below,high
40930008,3051-0,month_3,normal,below,high
34713006,1989-3,month_3,normal,below,high
190634004,2132-9,month_3,normal,below,high
72000004,2923-1,month_3,normal,below,high
38362002,101206-1,week_1,abnormal,equal,high
38362002,25338-5,week_1,abnormal,equal,high
61462000,70569-9,week_1,abnormal,equal,high
271737000,718-7,month_6,normal,below,high
87522002,2498-4,month_6,normal,below,high
66944004,8099-4,month_6,abnormal,equal,high
302870006,2571-8,month_3,borderline_high,above,high
44054006,1558-6,stat,normal,above,low
44054006,4548-4,month_3,normal,above,low
44054006,1521-4,stat,normal,above,low
46635009,1558-6,stat,normal,above,low
46635009,4548-4,month_3,normal,above,low
46635009,1521-4,stat,normal,above,low
414916001,39156-5,month_3,normal,above,high
35885006,3084-1,month_3,normal,above,high
390951007,1558-6,stat,normal,above,high
9414007,20438-8,stat,normal,above,high
154283005,11477-7,month_3,abnormal,equal,high
89627008,2951-2,stat,normal,below,high
840539006,94309-2,month_3,abnormal,equal,high
840539006,94558-4,month_3,abnormal,equal,high
66071002,22321-4,month_6,normal,above,high
54329005,42757-5,stat,normal,above,low
73795002,42757-5,stat,normal,above,low
5291005,17863-2,month_3,normal,below,high
43339004,2823-3,stat,normal,below,high
302866003,74774-1,stat,normal,below,high
14140009,2823-3,stat,normal,above,high
709044004,69405-9,month_6,normal,above,low
75694006,1798-8,stat,borderline_high,above,low
27052006,637-9,week_1,abnormal,equal,high
27052006,50687-3,week_1,abnormal,equal,high
35240004,2498-4,month_6,normal,below,high
35240004,2276-4,month_6,normal,below,high
35240004,2500-7,month_6,normal,above,high
40468003,22315-6,month_3,normal,above,high
50711007,53376-0,year_1,normal,above,high
44666001,28540-3,month_6,normal,below,low
44666001,30428-7,month_6,normal,below,low
238136002,39156-5,month_3,critically_high,equal,high
80394007,1558-6,stat,normal,above,high
80394007,1521-4,stat,normal,above,high
80394007,4548-4,month_3,normal,above,high
370992007,2089-1,month_3,normal,above,high
370992007,2091-7,month_3,normal,above,high
370992007,2093-3,month_3,normal,above,high
370992007,2085-9,month_3,normal,below,high
197456007,3040-3,stat,critically_high,above,low
197456007,1798-8,stat,critically_high,above,low
119247004,1751-7,month_3,normal,below,high
8900005,1751-7,month_3,borderline_low,below,high
8900005,2885-2,month_3,borderline_low,below,high
14783006,1975-2,month_3,normal,above,high
14783006,1968-7,month_3,normal,above,low
14783006,1971-1,month_3,normal,above,low
237662005,2842-3,month_3,normal,above,high
420422005,33903-6,stat,normal,above,low
36976004,2731-8,month_3,normal,below,high
37871000,1920-8,month_3,high,above,low
37871000,1742-6,month_3,high,above,low
419503008,13965-9,month_3,normal,above,high
49710005,8867-4,stat,normal,below,high
238117007,17863-2,month_3,normal,below,high
73211009,74774-1,stat,normal,above,low
609328004,26449-9,month_1,borderline_high,above,low
609328004,26450-7,month_1,borderline_high,above,low
106098005,2160-0,month_3,borderline_high,above,low
106098005,14682-9,month_3,borderline_high,above,low
52845002,1753-3,month_3,abnormal,equal,low
52254009,1753-3,month_3,abnormal,equal,low
709044004,1753-3,month_3,abnormal,equal,low
