concept_snomed_id,drug_hash,exclusivity,exclusivity_male,exclusivity_female,form_exclusivity
190634004,63d41e0f1ce4a86ac8d19f893d0b4e9c,low,high,high,
42658009,63d41e0f1ce4a86ac8d19f893d0b4e9c,low,,,
254900004,a9a60c2caf10630a3f0d8a30e5b22288,,high,,
73211009,ef3ed141239e6136c32bbb929b069fa3,high,high,high,
32398004,c82c90f1fd88e812eaefe0c579cc33f5,low,,,
13645005,c82c90f1fd88e812eaefe0c579cc33f5,low,,,
195967001,c82c90f1fd88e812eaefe0c579cc33f5,low,,,
87284002,e50528a9d87bc5d9e95ad4a11418d9d1,low,low,,
23986001,e50528a9d87bc5d9e95ad4a11418d9d1,low,low,,
84757009,e50528a9d87bc5d9e95ad4a11418d9d1,low,low,,
49130001,516aa90a2552022428676c42db4939bd,low,low,,Ear
79787007,821f42827abd37baea42e523cf4d9520,high,,,
106063007,597c2f37ce97ae4f595bad0dee5e8aa1,low,,,
370992007,fb98be1dd61db35f1d9d4627bdc5db2d,low,high,high,
703938007,986f74a066e5973a3d1f02daafdc36dc,low,,,
61627001,78a87730afa006dcd391c9b876f408da,high,,,
421961002,703c984b065f2b5ef2b5e27c4f84fedf,low,,,
61627001,4449e8cf52831683069fe767838c36f7,high,,,
88594005,c0aa2c82df5fbdec74da7e1cd0f6b55b,low,,,
9014002,2e8a8b1c9142de3ac8de0723812d3fef,low,,,
11381005,e623f94c6d4c2cd221abe947bb1baaa2,low,,,
128333008,4c348816782733c024f012ddd397b14a,low,,,
128241005,a910f49b366e18810689e3839ae74668,high,,,
698247007,a6f4f3d0c1e5be02769b218ba2247f95,low,,,
254838004,d1c26e17588473f5fd148fa266a9a578,high,,,
41291007,4c1df11c676d2f2d452625a8be52a212,low,,,
363358000,74794b56e0788d8f04492ff5c76837a3,high,,,
195967001,e7bfbc2c001eb8522955144b5000dac9,low,,,
24700007,ce512da05f5dd778b09b8b5509f62612,low,,,
76069003,65ce3ff9b1e110012171374fa7dceb0a,low,,,
34713006,a65fc53a6d1690ee1720b3b52b918db6,low,,,
61627001,2e9cdc4c87929fcf08fb29c7cdc51dd8,low,,,
38341003,43109b14f336d9ebd8d4e2fc23a5fc6f,low,,,
90560007,43f3e69192be8f1848ce7b18af2e3589,high,,,
173300003,4f780a51bbe5a06a59059bc214085fdb,,,high,
61627001,93e4736973293d42063696eadc990e92,high,,,
95320005,d68a6c92e437260b9db8cd44282f2f6e,high,,,
95320005,e2daabeb430a244504cf383a693f926f,zero,,,
73211009,7d031838f2601277e6f9837b0d8e77ce,high,,,
26929004,092095aa008269d95ce906c5169374d9,low,,,
106098005,7c42c520fb8e1c393fb0aa0877580e34,high,,,
61462000,85d06e779dc391d7b52f252bbcb5b152,high,,,
61627001,9863c9e68905880deb509000e694a742,low,,,
24526004,49195fd3ccbec731e4f7c5284609c615,low,,,
13213009,2d9f8c40f5aaa247770f0b1e0067ee8e,,low,low,
59282003,b1af0ecdbd31a46dcee0aafa487bb307,low,,,
230690007,b1af0ecdbd31a46dcee0aafa487bb307,low,,,
414545008,b1af0ecdbd31a46dcee0aafa487bb307,low,,,
363443007,91cb17dd472e5058832d666d1987ecff,high,,,
24526004,8b4f995f8c826a2cb80f6a1517574ca7,low,,,
32798002,d82db87068417e0b54b7aa99c32f084d,low,,,
70995007,f437466fa8717fd769398e5c38fe4716,high,,,
106048009,1031933211d485133a33b32373841315,high,,,
38341003,76c9da9c26b8c41f34259e48cdb696f8,low,,,
84114007,76c9da9c26b8c41f34259e48cdb696f8,low,,,
56317004,a9aeda7db1b37d6e4159faa2b5476533,high,,,
195967001,a0ea32663812f051acf9b28b5b8ba7fe,low,,,
698247007,a026c46530bb48495f974f4a22f0487d,high,,,
58214004,1a1f8d4d226c25146504e22af8e91ad5,low,,,
35489007,0feb64b5157bc3c66a25f0dbc1398145,low,,,
26284000,6f70abfaed6920ed9086aa441fe04ee7,high,,,
38341003,613075564472c8742b180667f231d172,low,,,
106048009,be00898f75130ade5c6e7a7e72d506a7,low,,,
782957005,f43fdda2cdc3ad3aa5b4261a5255840d,low,,,
61462000,d37d87b705d68447b4a2beeda75ca1de,high,,,
3218000,e7ca73a475dc344b643f59f840f23019,high,,,
3218000,ba11cccbce43be36a276d1393b1d7869,high,,,
42343007,60309069b1012f626944dd5010ec6e13,high,,,
54150009,10241a5e8fe5b5a5c3534c29d85f0343,low,,,
254837009,bb81ad804f4d3c3052614d03b76e442c,low,,,
3218000,dce25d40d7c2ca858143ce34372a2b2c,high,,,
32798002,ba3a50a71acafdeedc1b0a3a69695c5e,high,,,
23986001,aaebe6a633b16641ee52b043bce11eb0,high,,,
9014002,e96c42e338e8903e8db6c6b6cc175916,low,,,
106063007,c2bd3594bcf8ecb5b87563ff7274dcd4,high,,,
49765009,4a5224128e072e596f6e2e93cecd717f,low,,,
13645005,c441e4d15c837dd1b1718b595f14fec0,low,,,
69322001,662d78825e427448ea8547cad3dd9ef3,high,,,
61462000,1fa6a81e1263b5ebc35e1d4231d3e538,high,,,
61462000,696d3b37770e3db384ac03a0c9ad33a7,high,,,
61462000,014a533ef942f43a9d5bb2b7ec4cd66b,high,,,
61462000,e3808b9785653fa349cd23efa0847a72,high,,,
69322001,3cca4d6809b5a622e9f966fa014461d8,high,,,
422504002,90ea1eeaf311dc6d503bf7cb8056f8bb,low,,,
38341003,5094065ebe09fc29833ce02874cf9408,low,,,
197480006,5094065ebe09fc29833ce02874cf9408,low,,,
194828000,5094065ebe09fc29833ce02874cf9408,low,,,
109841003,9051690d7dc9a57dd532825c0f43f68f,low,,,
406506008,bade648070222bdbda2b6249c5d33999,high,,,
370992007,9a05646d461669f86de312d88ab5748a,low,,,
128473001,b363d2206727ebb2b2894e1b40ee5085,low,,,Eye
129154003,918183ebe8d737590835d2d1ada752f1,low,,,
11381005,cb013fc997facd93bac27790e60831e3,low,,,
38341003,65b1bc8fe4238e773b070a34d6f8e9e8,high,,,
38341003,6a9a3756e4677ef76eb433fe07be0d1a,high,,,
386617003,25b11546aee5cb21e30016a266a07d8a,zero,,,
24526004,a126926208f891983286ef83ffbbb6b0,high,,,
735445000,267699c7de2afe8d0df11b33b6098e9d,low,,,
38341003,ce3aab03620aa9f33c21335ca6201b7a,low,,,
127013003,ce3aab03620aa9f33c21335ca6201b7a,low,,,
109989006,72ef2ffeee18f79dd33dc41719d0f217,low,,,
424736006,a981af0c7bcc469943b0d9812d8b2250,low,,,
190634004,a981af0c7bcc469943b0d9812d8b2250,low,,,
38341003,5a62c8b365b6ad5ece7026f4aca40b2d,low,,,
194828000,5a62c8b365b6ad5ece7026f4aca40b2d,low,,,
32798002,a09d49cf5674a5d29263bf9572480a7d,high,,,
23685000,57d94c90d726a70131409356af4dc29a,low,,,
49049000,300328dd6317acfc4d3abab9c1b3261b,low,,,
26284000,ce0d2384fadaa69d65ab1a7f0b357d7e,low,,,
703938007,b1f678fb9e8abc503a817353541730c0,low,,,
57019003,b3d69b543632a55b706bdf0ad6cf8925,low,,,
