snomed_id,name,display_name,synonyms,level_concept,type_concept,type_information,active
10001005,Bacterial sepsis,Bacterial septicemia,"['Bacterial septicemia', 'Bacterial sepsis', 'Bacterial septicaemia', 'Bacterial sepsis (disorder)']",granular,Disorder,SelfHistory,
10057001,Chronic lichenoid pityriasis,Chronic lichenoid pityriasis,"['Chronic lichenoid pityriasis', 'Parapsoriasis varioliformis chronica', 'Pityriasis lichenoides chronica', 'Parapsoriasis guttata', 'PLC - Pityriasis lichenoides chronica', 'Guttate parapsoriasis', 'Chronic lichenoid pityriasis (disorder)']",granular,Disorder,SelfHistory,
10065003,Excoriated acne,Excoriated acne,"['Excoriated acne', 'Excoriated acne (disorder)', 'Acne excoriee des jeunes filles']",granular,Disorder,SelfHistory,
10259007,Proctopexy,rectopexy,"['Proctopexy', 'Rectopexy', 'Rectopexy for prolapse', 'Fixation of rectum', 'Proctopexy (procedure)']",granular,Procedure,SelfHistory,
102616008,Painful mouth,Painful mouth,"['Painful mouth', 'Oral pain', 'Painful mouth (finding)', 'Oral cavity pain']",,Finding,SelfHistory,
102878001,Recurrent miscarriage,Recurrent abortions,"['Recurrent abortion', 'Habitual abortion', 'Recurrent miscarriage', 'Recurrent aborter', 'Habitual aborter', 'Recurrent miscarriage (disorder)']",,Finding,SelfHistory,
102947004,High risk sexual behavior,Risky sexual behaviour,"['High risk sexual behavior', 'High risk sexual behaviour', 'High risk sexual behavior (finding)', 'Unsafe sexual practices']",group,Lifestyle,SelfHistory,
103260005,Downward conjugate gaze,Setting sun sign,"['Downward conjugate gaze', 'Downward gaze of eyes', 'Downward conjugate gaze (finding)']",,Finding,SelfHistory,
103262002,Staring,Staring,"['Staring', 'Gazing fixedly', 'Staring (finding)']",,Finding,SelfHistory,
10351008,Suppurative tonsillitis,Suppurative tonsillitis,"['Suppurative tonsillitis', 'Septic tonsillitis', 'Suppurative tonsillitis (disorder)']",granular,Disorder,SelfHistory,
103606006,Parkinsonian facies,Mask like facies,"['Parkinsonian facies', 'Mask-like facial expression', 'Parkinsonian facies (finding)']",,Finding,SelfHistory,
103716009,Placement of stent,stent placement,"['Placement of stent', 'Stent placement', 'Placement of stent (procedure)']",granular,Procedure,SelfHistory,
103718005,Removal of stent,removal of stent,"['Removal of stent', 'Stent removal', 'Removal of stent (procedure)']",granular,Procedure,SelfHistory,
10509002,Acute bronchitis,Acute bronchitis,"['Acute bronchitis', 'Acute bronchitis (disorder)']",granular,Disorder,SelfHistory,
105593004,Electrolyte imbalance,Electrolyte imbalance,"['Electrolyte imbalance', 'Electrolyte imbalance (disorder)']",granular,Disorder,SelfHistory,
105597003,Blindness AND/OR vision impairment level,Vision loss,"['Blindness AND/OR vision impairment level', 'Blindness AND/OR vision impairment level (disorder)']",,Finding,SelfHistory,
105611005,Sprain of ligament of joint,Sprain of joint,"['Sprain of joint', 'Sprain of ligament of joint (disorder)', 'Sprain of ligament of joint']",group,Disorder,SelfHistory,
105706003,Disease caused by superfamily Filarioidea,Disease due to superfamily Filarioidea,"['Disease due to superfamily Filarioidea', 'Filariosis', 'Filariasis', 'Disease caused by superfamily Filarioidea (disorder)', 'Disease caused by superfamily Filarioidea']",granular,Disorder,SelfHistory,
105981003,Disorder of cardiac function,Cardiac function disorder,"['Functional cardiac disorder', 'Disorder of cardiac function', 'Disorder of cardiac function (disorder)']",group,Disorder,SelfHistory,
106028002,Musculoskeletal finding,Musculoskeletal health,"['Musculoskeletal finding', 'Musculoskeletal finding (finding)', 'Musculoskeletal system observation', 'Musculoskeletal observation']",system,Finding,SelfHistory,
106030000,Muscle finding,Muscle related disorders,"['Muscle observation', 'Muscle finding', 'Muscle finding (finding)']",group,Disorder,SelfHistory,
106048009,Respiratory finding,Respiratory health,"['Respiratory observation', 'Respiratory observations', 'Respiratory system observation', 'Respiratory finding', 'Respiratory finding (finding)']",system,Finding,SelfHistory,
106063007,Cardiovascular finding,Cardiovascular health,"['Cardiovascular finding', 'CVS - Cardiovascular observations', 'Cardiovascular observations', 'Cardiovascular finding (finding)', 'General cardiovascular observations']",system,Finding,SelfHistory,
106098005,Urinary system finding,Renal health,"['Urinary system finding', 'Urinary system finding (finding)']",system,Finding,SelfHistory,
106176003,Endocrine finding,Endocrine health,"['Endocrine finding', 'Endocrine finding (finding)', 'Endocrine observation']",system,Finding,SelfHistory,
10629111000119109,,Acute lymphadenitis of inguinal lymph nodes,,granular,Disorder,SelfHistory,
10676911000119100,Pruritis of skin of anogenital region,Anogenital pruritus,"['Anogenital pruritus', 'Pruritis of skin of anogenital region (disorder)', 'Pruritis of skin of anogenital region']",granular,Disorder,SelfHistory,
10692761000119107,,Asthma-chronic obstructive pulmonary disease overlap syndrome,,granular,Disorder,SelfHistory,
10743008,Irritable bowel syndrome,Irritable colon,"['Irritable colon', 'Adaptive colitis', 'Membranous colitis', 'Spastic colon', 'Irritable bowel syndrome', 'Mucous colitis', 'Colon spasm', 'Functional bowel disease', 'Nervous colitis', 'IBS - Irritable bowel syndrome', 'Irritable bowel', 'Spastic colitis', 'Irritable colon syndrome', 'IC - Irritable colon', 'Irritable bowel syndrome (disorder)']",granular,Disorder,SelfHistory,
10759881000119100,,Tuberculosis in mother complicating childbirth (disorder),,granular,Disorder,SelfHistory,
1076421000119104,,Retrocalcaneal bursitis of right foot,,granular,Disorder,SelfHistory,
1076441000119105,,Retrocalcaneal bursitis of left foot (disorder),,granular,Disorder,SelfHistory,
107808005,Accessory sinus excision,nasal sinusectomy,"['Accessory sinus excision', 'Accessory sinus excision (procedure)', 'Nasal sinusectomy', 'Excision of nasal sinus']",granular,Procedure,SelfHistory,
107938000,Small intestine excision,small bowel resection,"['Small intestine excision', 'Resection of small intestine', 'Excision small intestine', 'Small bowel resection', 'Small intestine excision (procedure)']",granular,Procedure,SelfHistory,
107963000,Excision of liver,hepatectomy,"['Liver excision', 'Hepatectomy', 'Resection of liver', 'Excision of liver (procedure)', 'Excision of liver']",granular,Procedure,SelfHistory,
108022006,Kidney excision,nephrectomy,"['Kidney excision', 'Kidney excision (procedure)']",group,Procedure,SelfHistory,
108034003,Urinary bladder excision,cystectomy,"['Bladder excision', 'Urinary bladder excision (procedure)', 'Cystectomy', 'Urinary bladder excision']",granular,Procedure,SelfHistory,
108241001,Dialysis procedure,dialysis,"['Dialysis procedure', 'Dialysis procedure (procedure)']",granular,Procedure,SelfHistory,
108290001,Radiation oncology AND/OR radiotherapy,radiotherapy,"['Radiation oncology AND/OR radiotherapy', 'Radiation oncology AND/OR radiotherapy (procedure)', 'RT - Radiotherapy', 'Radiotherapy']",group,Procedure,SelfHistory,
10836008,Decompression of spinal cord,spinal decompression,"['Decompression of spinal cord', 'Spinal decompression', 'Decompression of spinal cord (procedure)']",granular,Procedure,SelfHistory,
108365000,Infection of skin,Skin infection,"['Infection of skin', 'Infection of skin (disorder)']",granular,Disorder,SelfHistory,
1086791000119100,,Erosive gastritis (disorder),,granular,Disorder,SelfHistory,
1089181000119108,,Mycotic otitis externa of left external auditory canal,,granular,Disorder,SelfHistory,
10893003,Tuberculous adenitis,Tuberculous adenitis,"['Tuberculous adenitis', 'Tuberculous lymphadenopathy', 'Tuberculous adenitis (disorder)', 'Tuberculosis of lymph node']",granular,Disorder,SelfHistory,
1091791000119107,,Otitis externa of right external auditory canal caused by fungus (disorder),,granular,Disorder,SelfHistory,
109385007,Kaposi's sarcoma,Kaposi Sarcoma,"[""Kaposi's sarcoma (clinical)"", ""Kaposi's sarcoma (disorder)"", ""Epidemic Kaposi's sarcoma"", ""KS - Kaposi's sarcoma"", ""Kaposi's sarcoma"", 'Kaposi sarcoma']",granular,Disorder,SelfHistory,
109600005,Irreversible pulpitis,Irreversible pulpitis,"['Irreversible pulpitis', 'Pulpitis - irreversible', 'Irreversible pulpitis (disorder)']",granular,Disorder,SelfHistory,
109602002,Acute apical abscess,Acute apical abscess,"['Acute apical abscess', 'Acute alveolar abscess', 'Acute dentoalveolar abscess', 'Acute periapical abscess', 'Acute apical abscess (disorder)']",granular,Disorder,SelfHistory,
109841003,Liver cell carcinoma,Hepatocarcinoma,"['Hepatocarcinoma', 'Hepatocellular carcinoma', 'Malignant hepatoma', 'HCC - Hepatocellular carcinoma', 'LCC - Liver cell carcinoma', 'Liver cell carcinoma', 'Liver carcinoma', 'Liver cell carcinoma (disorder)']",granular,Disorder,SelfHistory,
109989006,Multiple myeloma,Multiple Myeloma,"['Multiple myeloma (clinical)', 'Plasmacytic myeloma', ""Kahler's disease"", 'Myelomatosis', 'Multiple myeloma', 'Myeloma', 'Multiple myeloma (disorder)']",granular,Disorder,SelfHistory,
110359009,Intellectual disability,Intellectual disability,"['Intellectual disability', 'Intellectual disability (disorder)', 'Intellectual developmental disorder', 'Mental retardation']",granular,Disorder,SelfHistory,
110473004,Cataract surgery,cataract surgery,"['Cataract surgery', 'Cataract surgery (procedure)']",group,Procedure,SelfHistory,
110483000,Tobacco user,Tobacco user,"['Tobacco user', 'Tobacco user (finding)', 'Tobacco use']",group,Lifestyle,SelfHistory,
11049006,Cervical radiculitis,Cervical radiculitis,"['Cervical radiculitis', 'Radicular syndrome of upper limbs', 'Cervical radiculitis (disorder)']",granular,Disorder,SelfHistory,
1108009,Female pattern alopecia,Female pattern alopecia,"['Female pattern alopecia', 'Female pattern baldness', 'Female pattern alopecia (disorder)']",granular,Disorder,SelfHistory,
110979008,Irritant contact dermatitis,Primary irritant dermatitis,"['Primary irritant dermatitis', 'Non-allergic contact dermatitis', 'ICD - Irritant contact dermatitis', 'Irritant contact dermatitis (disorder)', 'Irritant contact dermatitis']",granular,Disorder,SelfHistory,
11101003,Percutaneous transluminal coronary angioplasty,ptca - percutaneous transluminal coronary angioplasty,"['Percutaneous transluminal coronary angioplasty', 'Balloon angioplasty of coronary artery', 'Percutaneous transluminal coronary angioplasty (procedure)', 'Percutaneous transluminal coronary balloon angioplasty', 'PTCA - Percutaneous transluminal coronary angioplasty', 'Percutaneous angioplasty of coronary artery']",granular,Procedure,SelfHistory,
111032003,Macular cutaneous amyloidosis,Macular cutaneous amyloidosis,"['Macular cutaneous amyloidosis', 'Macular cutaneous amyloidosis (disorder)']",granular,Disorder,SelfHistory,
11114002,Sore gums,Painful gums,"['Gingival pain', 'Painful gums', 'Gum pain', 'Sore gums', 'Sore gums (finding)', 'Sore gums - symptom']",,Finding,SelfHistory,
111189002,Acute contact dermatitis,Acute contact dermatitis,"['Acute contact dermatitis', 'Acute contact dermatitis (disorder)']",granular,Disorder,SelfHistory,
111209006,Photoallergic dermatitis,Photoallergic dermatitis,"['Photoallergic dermatitis', 'Photoallergic contact dermatitis', 'Photoallergic eczema', 'Photoallergic dermatitis (disorder)', 'Allergic photocontact eczema']",granular,Disorder,SelfHistory,
11127003,"Esophagogastrostomy, antesternal or antethoracic",gastric bypass operation,"['Esophagogastrostomy, antesternal or antethoracic', 'Formation of reversed gastric tube, antesternal or antethoracic', 'Esophagogastric anastomosis, antesternal or antethoracic', 'Oesophagogastrostomy, antesternal or antethoracic', 'Oesophagogastric anastomosis, antesternal or antethoracic', 'Gastric bypass operation', 'Esophagogastrostomy, antesternal or antethoracic (procedure)']",granular,Procedure,SelfHistory,
111287006,Tricuspid valve regurgitation,Tricuspid valve regurgitation,"['Tricuspid valve regurgitation', 'Tricuspid valve incompetence', 'Tricuspid valve insufficiency', 'Tricuspid regurgitation', 'Tricuspid valve regurgitation (disorder)', 'TI - Tricuspid incompetence', 'Tricuspid insufficiency', 'TR - Tricuspid regurgitation']",granular,Disorder,SelfHistory,
1115001,Decortication,decortication,"['Decortication', 'Decortication (procedure)']",group,Procedure,SelfHistory,
111541001,Benign paroxysmal positional vertigo,Benign paroxysmal positional vertigo,"['Benign paroxysmal positional vertigo', 'Benign paroxysmal positional nystagmus', 'BPPV - Benign paroxysmal positional vertigo', 'Benign paroxysmal positional vertigo (disorder)']",granular,Disorder,SelfHistory,
111591002,Hypertrophy of adenoids,Hypertrophy of adenoids,"['Hypertrophy of adenoids', 'Enlargement of adenoids', 'Adenoidal hypertrophy', 'Adenoidal enlargement', 'Hypertrophy of adenoids (disorder)']",granular,Disorder,SelfHistory,
111843007,Viral gastroenteritis,Viral gastroenteritis,"['Viral gastroenteritis', 'Viral diarrhea', 'Viral vomiting', 'Viral diarrhoea', 'Viral gastroenteritis (disorder)']",granular,Disorder,SelfHistory,
1119209001,Allergy to hair dye,allergy to hair dye,"['Allergy to hair dye (finding)', 'Allergy to hair dye']",granular,Allergy,SelfHistory,
