hash,name,therapeutic_class
a9a60c2caf10630a3f0d8a30e5b22288,abiraterone acetate,
ef3ed141239e6136c32bbb929b069fa3,acarbose,
c82c90f1fd88e812eaefe0c579cc33f5,acebrophylline,
a116972637e69e883424c93f98bee23b,aceclofenac,
9321661b46400c27651a09266462217e,acetaminophen,
e50528a9d87bc5d9e95ad4a11418d9d1,acetazolamide,
516aa90a2552022428676c42db4939bd,acetic acid,
821f42827abd37baea42e523cf4d9520,acetorphan,
a1a32cc37028b85cb1a606124213b7c2,acetylcysteine,
597c2f37ce97ae4f595bad0dee5e8aa1,acetylsalicylic acid,
fb98be1dd61db35f1d9d4627bdc5db2d,acipimox,
986f74a066e5973a3d1f02daafdc36dc,acitretin,
78a87730afa006dcd391c9b876f408da,acotiamide,
703c984b065f2b5ef2b5e27c4f84fedf,acrivastine,
4449e8cf52831683069fe767838c36f7,activated dimethicone,
c0aa2c82df5fbdec74da7e1cd0f6b55b,acyclovir,
2e8a8b1c9142de3ac8de0723812d3fef,adalimumab,
e623f94c6d4c2cd221abe947bb1baaa2,adapalene,
4c348816782733c024f012ddd397b14a,adapting electrolyte solutions,
a910f49b366e18810689e3839ae74668,ademetionine,
a6f4f3d0c1e5be02769b218ba2247f95,adenosine,
d1c26e17588473f5fd148fa266a9a578,ado-trastuzumab emtansine,
4c1df11c676d2f2d452625a8be52a212,adrenaline,
355d4b53e1afd350fd78cbc7ea9601d2,adrenochrome monosemicarbazone,
74794b56e0788d8f04492ff5c76837a3,afatinib dimaleate,
5941f96514bf20022df8efd5bc990d4a,albendazole,
e7bfbc2c001eb8522955144b5000dac9,albuterol,
babf88f32d20f9e229a64f85adf79677,alcohol,
ce512da05f5dd778b09b8b5509f62612,alemtuzumab,
65ce3ff9b1e110012171374fa7dceb0a,alendronic acid,
a65fc53a6d1690ee1720b3b52b918db6,alfacalcidol,
2e9cdc4c87929fcf08fb29c7cdc51dd8,alginic acid,
43109b14f336d9ebd8d4e2fc23a5fc6f,aliskiren,
38eb511b123d2565060d703717ea760f,allantoin,
449a8c1014fe5cccc0a1263cc749e2e2,allium cepa,
43f3e69192be8f1848ce7b18af2e3589,allopurinol,
4f780a51bbe5a06a59059bc214085fdb,allylestrenol,
93e4736973293d42063696eadc990e92,almagate,
