condition_snomed_id_src,condition_snomed_id_dst,relation_strength,relation_polarity
415105001,38341003,medium,positive
10509002,77176002,very_high,positive
65275009,414916001,medium,positive
69776003,230102009,high,positive
57054005,38341003,high,positive
57054005,13644009,high,positive
57054005,77176002,high,positive
57054005,44054006,high,positive
57054005,40979000,low,positive
197456007,13644009,high,positive
197456007,266474003,very_high,positive
197456007,219006,very_high,positive
3110003,195708003,very_high,positive
3110003,897657000,high,positive
194828000,77176002,very_high,positive
194828000,38341003,high,positive
194828000,40979000,medium,positive
194828000,44054006,high,positive
194828000,13644009,very_high,positive
194828000,414916001,medium,positive
426965005,426174008,very_high,positive
426965005,370388006,high,positive
426965005,190634004,very_high,positive
698247007,275905002,very_high,positive
698247007,90708001,low,positive
698247007,44054006,high,positive
698247007,14304000,zero,positive
698247007,38341003,high,positive
52441000,76498008,high,positive
193093009,34014006,high,positive
193093009,44054006,medium,positive
111541001,82271004,high,positive
111541001,129127001,very_high,positive
12295008,77176002,very_high,positive
12295008,161414005,high,positive
32398004,77176002,very_high,positive
57406009,125598003,very_high,positive
57406009,3723001,very_high,positive
128045006,44054006,high,positive
230690007,13644009,high,positive
230690007,77176002,high,positive
230690007,38341003,very_high,positive
230690007,44054006,high,positive
363354003,102947004,high,positive
363354003,240532009,very_high,positive
387800004,77176002,high,positive
387800004,249858009,very_high,positive
1482004,400201008,low,positive
1482004,44054006,medium,positive
111864006,242635009,very_high,positive
709044004,38341003,high,positive
709044004,44054006,medium,positive
709044004,77176002,medium,positive
13645005,77176002,very_high,positive
235494005,219006,very_high,positive
19943007,219006,very_high,positive
19943007,3738000,very_high,positive
193031009,219006,medium,positive
193031009,77176002,high,positive
42343007,44054006,high,positive
42343007,38341003,high,positive
42343007,275905002,very_high,positive
42343007,13213009,medium,positive
9826008,115665000,medium,positive
9826008,282752000,high,positive
9826008,285049007,very_high,positive
64109004,418019003,medium,positive
47270006,231458000,very_high,positive
38822007,77386006,medium,positive
38822007,76498008,high,positive
85777005,282752000,medium,positive
128053003,8510008,very_high,positive
128053003,414916001,low,positive
128053003,3215,medium,positive
128053003,77386006,medium,positive
38362002,242635009,very_high,positive
26435006,418715001,very_high,positive
26435006,115665000,high,positive
46635009,430678008,high,positive
371087003,77176002,high,positive
420422005,161413004,very_high,positive
420422005,708000007,very_high,positive
230572002,237622006,very_high,positive
230572002,77176002,medium,positive
34801009,312081001,high,positive
34801009,198130006,medium,positive
84757009,160341008,high,positive
84757009,127295002,low,positive
860914002,698456001,high,positive
860914002,44054006,high,positive
860914002,219006,high,positive
860914002,77176002,high,positive
95315005,414916001,high,positive
95315005,102877006,medium,positive
95315005,2024,high,positive
240820001,242635009,very_high,positive
75258004,230102009,very_high,positive
397825006,4556007,very_high,positive
397825006,426174008,high,positive
397825006,703885002,low,positive
4556007,414916001,high,positive
4556007,230094004,very_high,positive
4556007,426174008,high,positive
4556007,219006,very_high,positive
4556007,77176002,high,positive
235595009,77176002,high,positive
235595009,230094004,high,positive
235595009,414916001,very_high,positive
235595009,77386006,very_high,positive
23986001,44054006,high,positive
23986001,160347007,high,positive
23986001,282752000,high,positive
90935002,266889000,high,positive
70153002,77386006,very_high,positive
26614003,11805005,high,positive
26614003,189176002,high,positive
34486009,717855001,zero,positive
34486009,430089002,high,positive
34486009,85828009,zero,positive
302866003,44054006,very_high,positive
302866003,225302006,very_high,positive
302866003,219006,medium,positive
302866003,46635009,very_high,positive
40930008,13619001,high,positive
40930008,717855001,zero,positive
40930008,238121000,high,positive
40930008,300934004,zero,positive
18070006,172631009,high,positive
396232000,218220002,very_high,positive
396232000,414916001,medium,positive
193462001,397847006,high,positive
193462001,426174008,high,positive
193462001,440491000124109,medium,positive
81060008,161617006,very_high,positive
81060008,363508008,zero,positive
10743008,429964008,high,positive
10743008,426174008,high,positive
52947006,242635009,high,positive
95570007,414916001,high,positive
95570007,161844003,very_high,positive
23097003,2101,medium,positive
23919004,195708003,high,positive
45913009,195708003,high,positive
45913009,235595009,high,positive
45913009,16266001,very_high,positive
45913009,77176002,medium,positive
81004002,370388006,high,positive
77377001,102431007,high,positive
2415007,249858009,very_high,positive
2415007,414916001,very_high,positive
73452002,161414005,high,positive
61462000,242635009,very_high,positive
254837009,44062003,very_high,positive
254837009,224116000,very_high,positive
254837009,102877006,very_high,positive
254837009,429740004,very_high,positive
254837009,414916001,high,positive
399068003,414205003,high,positive
399068003,266569009,high,positive
52404001,21186006,high,positive
52404001,195708003,high,positive
14189004,370388006,medium,positive
7180009,82271004,medium,positive
37796009,426174008,medium,positive
37796009,160342001,high,positive
76627001,370388006,high,positive
76627001,840539006,high,positive
76627001,44054006,medium,positive
52254009,3738000,medium,positive
