condition_snomed_id,speciality_id,weight
368009,1,very_high
28651003,1,very_high
59282003,1,high
89155008,1,medium
398665005,1,very_high
237602007,1,very_high
3238004,1,very_high
161501007,1,very_high
132721000119104,1,very_high
233850007,1,very_high
698247007,1,very_high
194828000,1,very_high
57054005,1,very_high
42343007,1,very_high
79740000,2,medium
2556008,2,very_high
61170000,2,medium
83901003,2,low
274134003,2,high
157176002,2,high
196542004,2,high
191983006,2,very_high
426965005,2,medium
5441008,3,very_high
126485001,3,very_high
4740000,3,very_high
56727007,3,very_high
38907003,3,low
49882001,3,very_high
43891009,3,very_high
57019003,3,very_high
50563003,3,very_high
48971001,3,very_high
83901003,3,low
49420001,3,very_high
40070004,3,very_high
78146007,3,very_high
36209000,3,very_high
55464009,3,high
128869009,3,very_high
9014002,3,very_high
20848007,3,very_high
399029005,3,very_high
82796002,3,very_high
402222007,3,very_high
6020002,3,very_high
84849002,3,very_high
156370009,3,high
418470004,3,medium
402134005,3,very_high
47382004,3,very_high
402599005,3,very_high
88616000,3,very_high
115665000,3,medium
416893007,3,very_high
240542006,3,very_high
56317004,3,very_high
201040000,3,very_high
399183005,3,very_high
77090002,3,very_high
19362000,3,low
37869000,3,high
26435006,3,very_high
78048006,3,very_high
1475003,3,very_high
111196000,3,very_high
68225006,3,very_high
46090001,3,high
400201008,3,very_high
310701003,3,high
416675009,3,very_high
48277006,3,very_high
52011008,3,low
15628003,3,very_high
111202002,3,very_high
13600006,3,very_high
782957005,3,very_high
10528009,3,very_high
73692007,3,very_high
37151006,3,very_high
44653001,3,very_high
400200009,3,high
4776004,3,very_high
109385007,3,very_high
400097005,3,very_high
43116000,3,very_high
33659008,3,very_high
266113007,3,very_high
81004002,3,very_high
2734,3,medium
419893006,3,high
201112007,3,high
13758004,3,medium
19843006,3,very_high
33839006,3,very_high
274134003,3,very_high
32861005,3,very_high
76272004,3,very_high
414941008,3,high
240696004,3,very_high
399329002,3,very_high
53316003,4,very_high
8229003,4,very_high
34014006,4,medium
9078005,4,very_high
11543004,4,very_high
95239003,4,very_high
21954000,4,high
33528003,4,very_high
90176007,4,very_high
34129005,4,very_high
76627001,4,very_high
3135009,4,very_high
49526009,4,very_high
232377002,4,very_high
1119303003,4,high
127295002,4,high
31681005,4,high
126949007,4,very_high
82272006,4,very_high
126660000,4,very_high
426965005,4,very_high
90979004,4,very_high
70020005,4,very_high
21186006,4,very_high
253259008,4,high
232407000,4,very_high
61582004,4,very_high
193093009,4,very_high
28111002,4,very_high
80327007,4,very_high
3110003,4,very_high
897657000,4,very_high
115665000,4,medium
111541001,4,very_high
71186008,4,very_high
274134003,4,high
52404001,4,very_high
196542004,4,very_high
23919004,4,very_high
45913009,4,very_high
17467004,4,very_high
89927005,4,very_high
297159008,4,very_high
88050005,4,very_high
80384002,4,very_high
88348008,4,very_high
82271004,4,medium
74699008,4,very_high
271558008,4,medium
18070006,4,very_high
51523009,4,very_high
267103008,4,very_high
75441006,4,very_high
78737005,4,very_high
263172003,4,high
36971009,4,very_high
79740000,4,very_high
18140003,4,very_high
13445001,4,very_high
36989005,4,medium
20610004,4,medium
65363002,4,very_high
61170000,4,medium
196491008,4,high
54150009,4,very_high
78275009,4,high
405737000,4,very_high
27601005,5,medium
3738000,5,very_high
88518009,5,very_high
89155008,5,high
53165003,5,high
28670008,5,medium
34742003,5,very_high
64766004,5,very_high
37372002,5,very_high
74351001,5,high
70153002,5,very_high
4556007,5,very_high
79962008,5,very_high
235595009,5,very_high
81060008,5,very_high
84089009,5,very_high
75258004,5,very_high
77377001,5,high
307496006,5,very_high
397825006,5,very_high
197321007,5,very_high
72779005,5,very_high
10743008,5,very_high
30037006,5,medium
75119003,5,very_high
302914006,5,very_high
41309000,5,very_high
111196000,5,high
34000006,5,very_high
19943007,5,very_high
74400008,5,high
408335007,5,high
235494005,5,very_high
197456007,5,very_high
69776003,5,very_high
65275009,5,very_high
715192004,5,very_high
447330002,5,very_high
52441000,6,low
4740000,6,medium
9078005,6,low
190634004,6,high
126485001,6,medium
72000004,6,medium
68566005,6,very_high
57019003,6,medium
49882001,6,medium
5662003,6,low
34713006,6,very_high
3738000,6,medium
72934000,6,low
34014006,6,very_high
54150009,6,very_high
27601005,6,high
38907003,6,very_high
1489008,6,medium
20848007,6,medium
49420001,6,medium
1539003,6,low
64766004,6,medium
53316003,6,medium
47639008,6,medium
14077003,6,medium
3135009,6,low
31681005,6,low
1119303003,6,medium
52254009,6,rare
84849002,6,high
73589001,6,low
398057008,6,high
396275006,6,high
128869009,6,medium
61170000,6,very_high
37796009,6,very_high
202855006,6,medium
65363002,6,medium
239873007,6,medium
414941008,6,medium
233604007,6,low
202882003,6,medium
449826002,6,low
79740000,6,very_high
36989005,6,very_high
58075000,6,low
154283005,6,medium
237055002,6,low
405737000,6,very_high
2556008,6,low
5441008,6,medium
399329002,6,medium
50563003,6,high
400047006,6,low
60046008,6,low
840580004,6,medium
4834000,6,high
123471000119103,6,very_high
271425001,6,high
198130006,6,low
69896004,6,low
40257000,6,low
36971009,6,high
47382004,6,high
289903006,6,medium
90176007,6,high
18140003,6,medium
399029005,6,high
6020002,6,medium
95239003,6,medium
84416003,6,low
402134005,6,medium
239880009,6,low
40930008,6,medium
38341003,6,high
23919004,6,medium
45913009,6,low
87284002,6,very_high
472969004,6,low
230572002,6,low
53226007,6,medium
125594001,6,medium
34486009,6,medium
81004002,6,medium
52947006,6,medium
5291005,6,low
235595009,6,high
78737005,6,high
77377001,6,medium
445008009,6,medium
125604000,6,high
399114005,6,medium
72779005,6,medium
17467004,6,medium
370977006,6,high
10743008,6,low
13600006,6,medium
21897009,6,low
61462000,6,very_high
95570007,6,medium
81060008,6,low
111202002,6,medium
74699008,6,medium
87522002,6,very_high
279040009,6,high
125601008,6,medium
254845004,6,medium
73452002,6,low
400097005,6,high
43116000,6,medium
52404001,6,low
240820001,6,medium
282752000,6,medium
400200009,6,medium
75441006,6,medium
38481006,6,medium
88348008,6,medium
201112007,6,medium
26614003,6,medium
52011008,6,medium
44991000119100,6,medium
75258004,6,very_high
193462001,6,medium
18070006,6,medium
161501007,6,medium
302866003,6,medium
70153002,6,medium
416675009,6,medium
2415007,6,low
14189004,6,medium
396232000,6,low
80384002,6,high
266579006,6,medium
82271004,6,medium
45613006,6,low
36083008,6,medium
363354003,6,low
420422005,6,medium
194828000,6,low
385093006,6,medium
64109004,6,high
61582004,6,medium
416893007,6,medium
70650003,6,low
85777005,6,medium
21794005,6,medium
19943007,6,medium
68225006,6,medium
30037006,6,low
426965005,6,high
9826008,6,low
128045006,6,high
266569009,6,medium
57406009,6,low
47270006,6,low
11654001,6,medium
10509002,6,medium
65275009,6,medium
12295008,6,medium
78048006,6,medium
82272006,6,medium
32398004,6,medium
71186008,6,medium
74400008,6,low
13645005,6,medium
201040000,6,high
42343007,6,medium
897657000,6,high
35489007,6,low
254837009,6,low
371087003,6,medium
85828009,6,low
21186006,6,medium
19362000,6,low
193031009,6,high
28432003,6,low
197456007,6,low
3110003,6,low
400201008,6,high
115665000,6,low
360450007,6,medium
46635009,6,medium
195967001,6,medium
70020005,6,low
1475003,6,medium
111864006,6,very_high
38822007,6,high
56317004,6,medium
38362002,6,very_high
111541001,6,medium
90979004,6,high
271737000,6,high
3723001,6,medium
399183005,6,medium
80327007,6,low
44054006,6,medium
57054005,6,medium
69776003,6,high
26435006,6,medium
396285007,6,low
1482004,6,medium
709044004,6,low
387800004,6,medium
840539006,6,high
3502005,6,medium
82639001,7,very_high
68566005,7,low
238968009,7,very_high
18973006,7,very_high
72934000,7,very_high
30800001,7,very_high
54048003,7,high
36813001,7,high
79883001,7,very_high
77386006,7,very_high
398254007,7,medium
415105001,7,low
26843008,7,very_high
58851004,7,very_high
419760006,7,very_high
52441000,7,very_high
186729003,7,very_high
28432003,7,very_high
240542006,7,very_high
67624004,7,very_high
34571000,7,very_high
363354003,7,very_high
57044006,7,very_high
271737000,7,low
254837009,7,high
129103003,7,very_high
14094001,7,high
266113007,7,very_high
40930008,7,medium
254845004,7,high
11687002,7,very_high
33839006,7,very_high
95315005,7,very_high
95605009,7,very_high
34486009,7,medium
281623008,7,very_high
22053006,7,very_high
735476006,7,very_high
44991000119100,7,very_high
15628003,7,very_high
860914002,7,medium
237662005,7,very_high
34801009,7,high
266579006,7,very_high
15938005,7,very_high
38804009,7,very_high
16607004,7,high
13842006,7,very_high
146799005,7,very_high
276319003,7,very_high
198130006,7,very_high
47382004,7,low
43548008,7,very_high
237055002,7,very_high
65619001,7,very_high
2858002,7,high
36209000,7,medium
20016009,7,very_high
289903006,7,very_high
237684005,7,very_high
58703003,7,high
53226007,8,very_high
200635001,8,very_high
833335001,8,very_high
5662003,8,high
34713006,8,medium
128200000,8,high
68859000,8,very_high
51037009,8,very_high
2089002,8,very_high
201637001,8,medium
21351003,8,very_high
4598005,8,very_high
239960007,8,very_high
156370009,8,very_high
37785001,8,very_high
263129009,8,very_high
128210009,8,low
302941001,8,very_high
111255008,8,very_high
239720000,8,very_high
239873007,8,very_high
239961006,8,very_high
396275006,8,very_high
69896004,8,medium
84416003,8,high
414033006,8,very_high
359837005,8,very_high
23056005,8,very_high
54888009,8,very_high
33737001,8,very_high
55464009,8,medium
1539003,8,very_high
44551007,8,very_high
417076003,8,very_high
263128001,8,very_high
73589001,8,very_high
3199001,8,very_high
202882003,8,very_high
70704007,8,very_high
274152003,8,very_high
263030002,8,very_high
230634001,8,very_high
202855006,8,very_high
40257000,8,high
35984006,8,very_high
240216005,8,very_high
414293001,8,very_high
417109008,8,very_high
64859006,8,very_high
240008008,8,very_high
9682006,8,very_high
17883008,8,very_high
58075000,8,high
70736000,8,very_high
45613006,8,high
71620000,8,very_high
425852005,8,very_high
74814004,8,very_high
279040009,8,high
157265008,8,very_high
399114005,8,very_high
445008009,8,very_high
90560007,8,medium
125668004,8,very_high
39812007,8,very_high
239872002,8,very_high
125601008,8,very_high
157266009,8,very_high
2415007,8,high
212372004,8,very_high
66931009,8,very_high
44801007,8,very_high
15574005,8,very_high
203082005,8,medium
65966004,8,very_high
827108008,8,very_high
396234004,8,very_high
53286005,8,very_high
157176002,8,high
91613004,8,very_high
22193007,8,very_high
69787006,8,very_high
55260003,8,very_high
417558002,8,very_high
66308002,8,very_high
20511007,8,very_high
239880009,8,very_high
50448004,8,very_high
274142002,8,very_high
11654001,8,high
429513001,8,very_high
1771000119109,8,very_high
63375009,8,very_high
9631008,8,very_high
111245009,8,very_high
230631009,8,very_high
397758007,8,very_high
69195002,8,very_high
157271002,8,very_high
3723001,8,very_high
192970008,8,high
26538006,8,very_high
240215009,8,very_high
84017003,8,very_high
233959009,8,low
23697004,8,high
68449006,8,very_high
126537000,8,very_high
72535009,8,very_high
58150001,8,very_high
44465007,8,very_high
203468000,8,very_high
448589005,8,very_high
68675004,8,very_high
125606003,8,very_high
68142008,8,very_high
699302001,8,very_high
21794005,8,very_high
443798008,8,very_high
57406009,8,very_high
360450007,8,very_high
387800004,8,very_high
1033009,8,very_high
415692008,8,very_high
284062002,8,very_high
64109004,8,high
444158007,8,very_high
371081002,8,very_high
202708005,8,very_high
125604000,8,very_high
263172003,8,low
18171007,8,very_high
247389006,8,very_high
309246000,8,very_high
125594001,8,very_high
125608002,8,high
10623005,8,very_high
111243002,8,very_high
52011008,8,very_high
405737000,9,medium
38907003,9,medium
34014006,9,high
368009,9,very_high
27601005,9,high
72000004,9,high
54150009,9,medium
20848007,9,medium
128869009,9,medium
57190000,9,low
4834000,9,low
721764008,9,medium
154283005,9,low
36971009,9,low
20016009,9,high
399029005,9,low
398057008,9,rare
74351001,9,very_high
38804009,9,very_high
65363002,9,medium
3135009,9,low
90176007,9,medium
414941008,9,low
402222007,9,rare
14077003,9,low
52254009,9,low
40070004,9,high
123471000119103,9,very_high
36989005,9,medium
233604007,9,medium
69776003,9,medium
71186008,9,high
80327007,9,medium
21186006,9,low
698247007,9,low
399882002,9,medium
74400008,9,medium
237751000,9,very_high
90979004,9,medium
56882008,9,low
426965005,9,rare
398565003,9,very_high
840539006,9,low
46635009,9,low
38362002,9,low
396285007,9,medium
58851004,9,rare
271737000,9,low
70020005,9,high
3110003,9,medium
195967001,9,medium
897657000,9,medium
47270006,9,low
240820001,9,low
125601008,9,medium
302866003,9,medium
14189004,9,very_high
75258004,9,high
230745008,9,very_high
78737005,9,low
82271004,9,medium
22053006,9,medium
397827003,9,high
87522002,9,low
61462000,9,medium
74699008,9,high
52404001,9,low
52947006,9,medium
88348008,9,rare
75441006,9,high
81060008,9,low
90935002,9,low
52011008,9,low
271558008,9,very_high
84757009,9,medium
48277006,9,very_high
80384002,9,medium
125594001,9,low
17467004,9,low
18070006,9,low
192685000,10,very_high
21007002,10,very_high
46659004,10,medium
66264000,10,very_high
128200000,10,very_high
49526009,10,medium
266257000,10,very_high
21954000,10,very_high
418470004,10,medium
192976002,10,very_high
16631009,10,very_high
31681005,10,very_high
49049000,10,very_high
73297009,10,high
30292005,10,very_high
37340000,10,very_high
359837005,10,high
19133005,10,very_high
